! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=FLUX                
!   X       Y       Z           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.385   0.000   0.725    0.32919E+00   0.27369E+00   0.73177E+00
   0.385   0.000   0.750    0.32847E+00   0.75155E-02   0.10000E+01
   0.385   0.000   0.775    0.31991E+00   0.13204E-04   0.10000E+01
   0.385   0.000   0.800    0.32730E+00   0.86618E-08   0.10000E+01
   0.385   0.000   0.825    0.33457E+00   0.00000E+00   0.10000E+01
   0.385   0.000   0.850    0.33852E+00   0.00000E+00   0.10000E+01
   0.385   0.000   0.900    0.34635E+00   0.00000E+00   0.10000E+01
   0.385   0.000   0.950    0.35230E+00   0.00000E+00   0.10000E+01
   0.385   0.000   1.000    0.35579E+00   0.00000E+00   0.10000E+01
   0.440   0.000   0.000    0.18311E-01   0.45530E+00   0.69085E-04
   0.440   0.000   0.050    0.18252E-01   0.45765E+00   0.12093E-03
   0.440   0.000   0.100    0.18167E-01   0.46401E+00   0.57780E-03
   0.440   0.000   0.150    0.18166E-01   0.47116E+00   0.79180E-03
   0.440   0.000   0.200    0.18267E-01   0.47562E+00   0.24307E-03
   0.440   0.000   0.250    0.18389E-01   0.47757E+00   0.26348E-02
   0.440   0.000   0.300    0.18543E-01   0.48141E+00   0.69635E-02
   0.440   0.000   0.350    0.18676E-01   0.48892E+00   0.38966E-02
   0.440   0.000   0.400    0.18807E-01   0.49803E+00   0.17639E-01
   0.440   0.000   0.425    0.18867E-01   0.50279E+00   0.17525E-01
   0.440   0.000   0.450    0.19006E-01   0.51218E+00   0.11636E-01
   0.440   0.000   0.475    0.19370E-01   0.52367E+00   0.73784E-02
   0.440   0.000   0.500    0.20009E-01   0.53009E+00   0.58730E-02
   0.440   0.000   0.525    0.20831E-01   0.54006E+00   0.10892E-01
